Roll No,Name,Gender,Age,Parents’ Education,Occupation,Family Income,Attendance (%),Previous Exam Performance,Hours of Study per Day,Hours of Sleep per Day,Class Participation,Assignment Submission Rate (%),Enrolled in Test Preparation Course,Receiving Tuition,Hours of Self-Study per Day,Health Status,Stress Level,Extra-Curricular Activities,Pass or Fail,Source of Study,Expected Percentage,Actual Percentage
32,Harsh,Male,17,High School,Driver,140576,68.97,85.7,1.7,8.3,High,77.72,Yes,No,0.8,Excellent,5,Music,Pass,Online,23,18
33,Trisha,Female,15,High School,Shopkeeper,442700,90.52,80.67,2.8,6.7,High,52.26,No,No,2.3,Good,2,Music,Pass,Offline,54,54
34,Aryan,Male,15,UG,Salesperson,289460,78.57,43.96,2.7,8.1,Medium,98.43,No,No,0,Good,5,None,Pass,Online,52,50
35,Nikita,Female,16,UG,Accountant,435884,70.89,64.32,1.9,7.3,Medium,91.8,No,No,0.7,Excellent,2,Dance,Pass,Online,52,53
36,Pranav,Male,15,UG,Clerk,400013,90.61,85.14,1.1,6.5,High,55.92,No,Yes,0.2,Average,3,None,Pass,Online,52,53
37,Anjali,Female,17,UG,Salesperson,452419,99.92,84.84,2.5,6.5,High,91.61,Yes,No,1.6,Poor,2,Art,Pass,Online,52,53
38,Siddharth,Male,14,PG,Doctor,172337,93.93,64.45,1.2,7,High,68.37,No,Yes,2.6,Poor,2,Dance,Pass,Online,52,53
39,Aditya,Male,17,High School,Security Guard,106570,65.05,62.3,5.7,5.6,High,75.24,No,No,2.8,Excellent,4,None,Pass,Offline,63,56
40,Yash,Male,15,PG,Engineer,125000,96.33,58.61,2.1,5.2,High,65.23,Yes,No,3.1,Average,5,Art,Pass,Offline,52,47
41,Vikram,Male,15,PG,Scientist,462300,51.97,70.01,2.2,8.2,Medium,92.6,No,No,1.4,Excellent,5,Art,Pass,Offline,52,49
42,Swati,Female,16,UG,Teacher,355164,59.32,67.78,1.4,5.5,Low,79.82,Yes,Yes,2.3,Average,2,Music,Pass,Offline,52,53
43,Rahul,Male,16,PG,Manager,219216,93.09,74.17,2.4,5.3,Low,55.33,No,Yes,2.4,Poor,4,None,Pass,Online,52,53
44,Isha,Female,17,High School,Driver,450801,74.14,88.6,1.6,7.1,Medium,73.2,Yes,No,2.7,Good,1,Art,Pass,Online,52,54
45,Pooja,Female,16,High School,Tailor,378120,81.61,70.65,4.6,8.8,Medium,89.25,Yes,No,3.1,Poor,3,Music,Pass,Online,61,61
46,Yash,Male,15,UG,Clerk,71563,77.22,62.53,5,7.5,Low,80.77,No,Yes,0.3,Excellent,4,Art,Pass,Online,52,53
47,Kunal,Male,14,High School,Driver,314026,82.48,96.87,4.3,8.3,Medium,51.04,Yes,Yes,0,Excellent,4,Music,Pass,Online,51,49
48,Tanya,Female,17,UG,Technician,107280,91.78,69.01,6,5.7,Medium,80.98,Yes,No,0.1,Average,3,Art,Pass,Online,52,53
49,Shreya,Female,16,High School,Tailor,476371,99.52,47.49,5.3,5,Low,88.17,Yes,Yes,2.9,Excellent,1,Art,Pass,Offline,82,84
50,Bhavna,Female,15,UG,Technician,53772,60.94,75.24,2.6,5.3,Medium,97.59,Yes,No,3.3,Good,2,None,Pass,Online,52,53
51,Nikita,Female,15,High School,Shopkeeper,402529,89.09,84.33,4.2,8.2,Low,59.31,No,No,1.1,Good,5,Sports,Pass,Online,43,38
52,Amit,Male,14,PG,Professor,340555,58.47,84.33,1.5,6.3,High,77.59,Yes,No,2.8,Good,2,Art,Pass,Offline,52,53
53,Isha,Female,15,High School,Tailor,130620,59.02,47.52,5.3,8.7,High,89.18,No,Yes,0.6,Good,4,Music,Pass,Online,59,56
54,Kavya,Female,18,PG,Doctor,461325,89.31,53.23,3.3,8.2,Medium,80.48,Yes,No,0.2,Poor,5,Art,Pass,Online,52,50
55,Rahul,Male,16,High School,Security Guard,280228,92.91,42.29,2.3,7.7,Medium,87.47,Yes,Yes,2.4,Excellent,4,Music,Pass,Online,35,41
56,Amit,Male,15,PG,Manager,244143,88.38,69.32,5.8,5.6,Low,85.59,No,Yes,1.3,Excellent,3,None,Pass,Online,52,53
57,Aryan,Male,16,UG,Salesperson,94075,80.41,74.77,3.2,8.9,High,66.53,No,Yes,0.1,Average,5,Art,Pass,Offline,52,50
58,Pooja,Female,14,UG,Salesperson,380844,96.47,92.02,2.3,5.5,Medium,79.93,No,No,0.7,Excellent,3,Sports,Pass,Offline,52,53
59,Abhishek,Male,14,PG,Engineer,287725,74.49,67.78,2.4,8.9,Medium,55.18,Yes,Yes,1.9,Good,5,None,Pass,Offline,52,50
60,Amit,Male,16,UG,Technician,149640,81.63,80.48,3.6,6.1,Low,72.84,Yes,Yes,2,Average,2,Sports,Pass,Offline,52,53
61,Shreya,Female,15,UG,Clerk,63375,87.46,70.72,5.2,6.6,Low,62.09,No,No,2.5,Excellent,2,Music,Pass,Online,52,53
62,Priya,Female,15,High School,Tailor,176501,79.42,66.32,5.1,8.5,Medium,79.11,No,No,2,Poor,5,Sports,Pass,Online,50,49
63,Shreya,Female,14,PG,Professor,120355,83.64,61.17,3.2,8.2,High,71.85,Yes,No,1.8,Excellent,5,Sports,Pass,Offline,52,47
64,Neha,Female,18,High School,Driver,286203,58.71,82.04,3.7,7,Medium,86.71,Yes,Yes,1.7,Poor,5,None,Pass,Offline,39,33
65,Isha,Female,16,PG,Professor,384772,57.67,79.39,3.3,8.8,Low,65.4,Yes,Yes,2.1,Good,1,Sports,Pass,Online,52,53
66,Sakshi,Female,16,PG,Professor,125973,77.13,84.18,1.3,8.4,High,87.62,Yes,No,3.7,Poor,3,Music,Pass,Online,52,53
67,Pranav,Male,17,PG,Manager,439954,76.18,79.1,4.3,5.5,High,58.84,Yes,No,1.6,Good,4,Art,Pass,Offline,52,53
68,Isha,Female,16,PG,Engineer,159005,53.65,60.93,2,6.2,Low,61.65,Yes,Yes,1.4,Excellent,2,Sports,Pass,Online,52,53
69,Aanya,Female,16,UG,Salesperson,262859,64.84,74.74,5.7,8.9,High,87.19,No,Yes,2.1,Excellent,5,None,Pass,Offline,52,48
70,Aarav,Male,18,UG,Clerk,471354,87.47,85.09,6,6.6,Medium,90.48,No,Yes,3.7,Poor,1,Sports,Pass,Online,52,53
71,Nikhil,Male,15,UG,Teacher,316476,59.97,87.79,4.9,8.9,Low,95.8,Yes,Yes,3.1,Good,2,Sports,Pass,Offline,52,53
72,Sakshi,Female,14,UG,Salesperson,61445,72.78,77.93,2.6,5.7,Low,89.33,Yes,No,3.9,Good,4,Dance,Pass,Online,52,53
73,Aarav,Male,15,PG,Engineer,429275,50.43,79.99,4.9,7.8,Low,56.4,Yes,No,2.1,Excellent,3,Music,Pass,Offline,52,53
74,Bhavna,Female,18,UG,Technician,276705,62.33,46.89,3.3,5.9,Medium,77,Yes,No,0.3,Excellent,2,Art,Pass,Offline,52,53
75,Riya,Female,16,UG,Salesperson,205182,89.23,52.8,4.6,7.7,Medium,74.5,No,Yes,2.4,Excellent,2,Art,Pass,Offline,52,53
76,Komal,Female,18,High School,Farmer,95644,54.45,44.68,1.7,8.6,High,96.95,No,No,3,Average,2,Dance,Pass,Online,46,46
77,Diya,Female,15,UG,Technician,249429,66.54,73.34,1.3,6.6,Low,99.89,No,No,1.6,Poor,1,Dance,Pass,Online,52,53
78,Sakshi,Female,15,PG,Scientist,108105,54.31,82.78,2.1,8.2,High,69.61,No,Yes,1.4,Excellent,5,Sports,Pass,Offline,52,49
79,Kunal,Male,16,High School,Tailor,138973,74,93.22,5.6,6.1,Low,93.23,Yes,No,3.1,Poor,1,Music,Pass,Online,84,88
80,Swati,Female,15,PG,Professor,59250,90.08,40.47,4.7,5.5,Medium,70.08,Yes,No,2.9,Excellent,4,Sports,Pass,Offline,52,53
81,Kavya,Female,14,PG,Engineer,55157,54.32,57.07,2.5,7.2,Medium,61.31,Yes,No,1.8,Good,5,Music,Pass,Online,52,49
82,Amit,Male,16,High School,Tailor,212063,74.24,54.09,1.4,7.2,High,60.29,No,Yes,3.2,Average,1,None,Pass,Offline,51,52
83,Aditya,Male,16,UG,Accountant,395811,87.34,76.47,5.6,8,Medium,94.85,No,Yes,3.3,Excellent,3,Music,Pass,Online,52,53
84,Harsh,Male,17,High School,Shopkeeper,98965,96.26,83.12,2.6,8,High,53.92,Yes,Yes,2.7,Good,2,Art,Pass,Online,53,50
85,Nikita,Female,14,UG,Teacher,137233,71.98,66.42,4.6,5.6,Medium,95.01,Yes,No,3.4,Good,5,Sports,Pass,Offline,52,51
86,Aryan,Male,16,High School,Tailor,392818,89.61,86.51,4.4,6.1,Medium,60.85,No,Yes,3.3,Good,1,Music,Pass,Online,75,76
87,Simran,Female,15,High School,Farmer,433118,66.33,41.21,2.6,6.4,Medium,95.5,Yes,No,1.3,Poor,5,None,Pass,Offline,30,29
88,Meera,Female,18,PG,Manager,388336,56.07,68.3,5.4,7,High,98.45,No,No,0.6,Good,2,Music,Pass,Offline,52,53
89,Raj,Male,16,UG,Salesperson,280081,69.71,58.97,4.9,8.6,Medium,57.42,No,No,1.7,Average,5,Art,Pass,Offline,52,50
90,Bhavna,Female,18,High School,Driver,459376,65.31,82.13,4.9,6.3,Medium,94.54,Yes,No,3.9,Poor,1,Sports,Pass,Offline,79,81
91,Simran,Female,15,PG,Scientist,122784,90.07,61.51,2.4,6,High,82.15,No,Yes,2.2,Excellent,3,Sports,Pass,Offline,52,53
92,Krishna,Male,18,High School,Farmer,447438,74.52,91.02,1.5,5.9,Low,84.46,No,No,1.8,Excellent,5,Art,Pass,Online,22,19
93,Anjali,Female,15,UG,Teacher,432458,96.64,59.98,1.5,6.4,High,53.05,Yes,Yes,3.2,Average,3,Art,Pass,Offline,52,53
94,Nikita,Female,17,PG,Scientist,440923,96.09,94.74,3.5,6.2,High,51.52,No,No,2,Good,4,Dance,Pass,Offline,52,53
95,Priya,Female,17,High School,Tailor,426324,57.9,51.46,5.4,7.8,Low,74.17,Yes,Yes,1.4,Average,2,None,Pass,Offline,75,75
96,Shreya,Female,17,High School,Shopkeeper,162759,96.16,98.27,5.8,7.2,High,81.87,No,No,2.8,Poor,5,Sports,Pass,Offline,56,52
97,Rajat,Male,14,High School,Farmer,407038,55.96,43.76,2.9,8.6,Medium,98.03,Yes,Yes,2.7,Excellent,5,None,Pass,Online,33,28
98,Rohan,Male,18,UG,Clerk,112130,65.88,95.89,5.3,7.5,Low,69.61,No,Yes,1.3,Excellent,5,Music,Pass,Offline,52,51
99,Manish,Male,15,High School,Security Guard,435152,50.14,89.47,1.1,8.7,Low,58.28,Yes,Yes,0.8,Good,1,Music,Pass,Online,48,49
100,Vivaan,Male,15,UG,Salesperson,492110,74.11,71.63,4.5,8,High,58.97,Yes,Yes,2.8,Poor,4,Art,Pass,Online,52,53
101,Vivaan,Male,16,PG,Engineer,69120,83.72,55.29,5.4,6.5,High,62.6,Yes,Yes,2.3,Poor,3,Music,Pass,Online,52,53
102,Isha,Female,16,UG,Salesperson,336505,77.92,50.31,3.9,5.4,High,54.66,Yes,No,2.6,Poor,2,Art,Pass,Offline,52,53
103,Anjali,Female,18,UG,Technician,294506,56.44,72.77,2,5.4,Low,63.41,No,No,1.6,Average,4,Dance,Pass,Offline,52,53
104,Sneha,Female,16,UG,Technician,378383,59.69,84.01,2.8,6,Medium,87.62,Yes,No,1,Good,2,None,Pass,Offline,52,53
105,Isha,Female,14,High School,Security Guard,107194,85.58,92.41,5.3,7.1,Medium,79.78,No,Yes,1.5,Average,5,None,Pass,Offline,52,50
106,Aanya,Female,14,PG,Manager,253210,89.73,75.05,5.9,8.6,Low,80.75,No,No,0.5,Good,1,Sports,Pass,Offline,52,53
107,Aditya,Male,17,UG,Salesperson,468556,87.29,71.6,2,8.4,High,93.55,Yes,Yes,3.3,Excellent,3,Music,Pass,Offline,52,53
108,Rahul,Male,18,PG,Doctor,229193,50.46,74.37,5.4,7.7,High,57.02,Yes,No,0,Excellent,2,None,Pass,Offline,52,53
109,Simran,Female,14,UG,Technician,357466,72.48,42.98,5,5.5,Medium,95.06,Yes,No,1.8,Poor,4,Art,Pass,Online,52,53
110,Priya,Female,14,High School,Driver,405089,51.99,80.81,2.7,5.7,High,59.56,Yes,No,3,Good,3,None,Pass,Online,46,46
111,Priya,Female,14,UG,Technician,206450,68.52,66.01,5.6,6.5,Medium,59.37,Yes,Yes,0.8,Excellent,4,None,Pass,Offline,52,53
112,Aarav,Male,15,High School,Farmer,475409,73.35,74.08,2.3,8.4,High,54.75,No,No,3.5,Poor,5,Sports,Pass,Online,28,24
113,Tanya,Female,18,PG,Professor,106026,56.63,92.27,4,5.7,Low,63.07,No,No,1.1,Excellent,5,Art,Pass,Online,52,50
114,Siddharth,Male,16,UG,Technician,476981,69.85,80.88,5.3,5.3,High,95.8,Yes,No,0.1,Average,1,None,Pass,Online,52,53
115,Sneha,Female,15,PG,Professor,228799,86.43,82.68,3.8,7.3,Low,92.15,No,No,0.4,Good,1,Music,Pass,Offline,52,53
116,Pooja,Female,17,UG,Accountant,302990,63.15,78.39,1.3,5.3,High,57.37,Yes,No,2.5,Average,4,Art,Pass,Online,52,53
117,Aanya,Female,14,PG,Scientist,348155,76.3,95.43,1.3,7.2,Low,59.65,No,Yes,3,Poor,5,Sports,Pass,Offline,52,48
118,Krishna,Male,15,High School,Driver,465480,54.8,94.75,5.6,7.1,Low,68.49,Yes,No,2.1,Poor,1,Art,Pass,Offline,84,89
119,Nikita,Female,15,High School,Tailor,191937,95.36,61.65,1.4,8.6,High,67.23,Yes,No,2.9,Excellent,5,None,Pass,Offline,21,19
120,Abhishek,Male,15,High School,Driver,284948,73.22,64.51,1.7,6.5,High,56.8,No,No,2.6,Average,5,Sports,Pass,Online,23,22
121,Kavya,Female,14,UG,Teacher,143507,51.94,84.05,5.3,6.6,Low,85.71,Yes,No,1.9,Average,1,Art,Pass,Offline,52,53
122,Rohan,Male,18,High School,Farmer,239033,51.15,52.75,5.4,6.1,Low,69.53,Yes,Yes,3.1,Average,4,Art,Pass,Online,60,60
123,Rohan,Male,18,PG,Engineer,122687,71.44,67.84,1.5,8,High,57.13,Yes,Yes,0.2,Average,2,None,Pass,Offline,52,53
124,Priya,Female,15,PG,Scientist,364081,55.77,77.47,3.8,7.1,Low,97.88,Yes,No,2.3,Good,1,None,Pass,Online,52,53
125,Aditya,Male,14,UG,Technician,238242,72.7,70.78,5.5,5.4,High,83.26,Yes,Yes,1.5,Average,2,Dance,Pass,Offline,52,53
126,Rahul,Male,18,High School,Tailor,260826,63.84,78.56,3.5,6.6,High,60.57,No,No,1.4,Good,5,Art,Pass,Offline,38,33
127,Yash,Male,15,High School,Tailor,121461,79.63,60.84,2.1,7,High,87.86,No,Yes,2,Good,3,Dance,Pass,Online,41,41
128,Krishna,Male,17,PG,Professor,464950,95.56,42.7,1.1,7.6,Low,70.27,Yes,No,1.8,Excellent,3,Sports,Pass,Online,52,53
129,Krishna,Male,15,UG,Accountant,420467,74.97,96.92,4.2,5.1,Medium,85.83,Yes,Yes,3.4,Average,1,Dance,Pass,Offline,52,53
130,Simran,Female,16,UG,Salesperson,185760,76.36,60.1,2.9,6.3,High,65.77,Yes,Yes,2.2,Average,3,Dance,Pass,Online,52,53
131,Pooja,Female,17,UG,Technician,141894,78.37,81.26,1.2,7.1,Low,98.13,No,No,2.6,Good,3,Dance,Pass,Offline,52,53
132,Pranav,Male,16,High School,Driver,153786,55.02,64.27,4.7,8.1,Medium,66.79,No,No,2,Average,2,Art,Pass,Online,70,70
133,Amit,Male,17,UG,Salesperson,477408,71.35,60.69,3.9,7.5,Low,96.49,No,No,3.2,Average,2,None,Pass,Online,52,53
134,Priya,Female,14,PG,Scientist,482393,80.79,77.73,4.1,5.4,High,99.56,No,Yes,0.4,Good,3,Dance,Pass,Offline,52,53
135,Amit,Male,14,UG,Teacher,374764,64.22,54.79,1.3,5.4,Medium,65.5,Yes,No,2.1,Good,2,Dance,Pass,Offline,52,53
136,Vikram,Male,17,High School,Shopkeeper,465577,69.64,71.38,2.8,8.4,High,54.87,Yes,No,3.4,Average,4,None,Pass,Online,39,47
137,Rahul,Male,17,PG,Manager,292727,69.86,76.71,3.3,8.9,Medium,60.15,Yes,Yes,2.1,Poor,4,Music,Pass,Online,52,53
138,Tanya,Female,17,PG,Scientist,202172,93.63,66.03,2.6,8.6,Low,94.64,Yes,Yes,3.1,Average,2,Music,Pass,Online,52,53
139,Vikram,Male,16,UG,Teacher,188808,83.78,92.04,4.9,7.9,Low,89.03,Yes,Yes,1.7,Average,5,None,Pass,Offline,52,51
140,Sakshi,Female,17,PG,Doctor,345800,98.03,74.78,4.6,7.9,Medium,85.49,No,Yes,2.3,Poor,3,Dance,Pass,Offline,52,53
141,Meera,Female,17,High School,Tailor,114575,76.29,72.08,5.2,5.6,Medium,94.28,No,No,1.9,Poor,2,None,Pass,Online,74,75
142,Sneha,Female,17,UG,Clerk,269059,59.55,61.33,5.2,8.3,Medium,61.52,No,No,2.4,Average,1,Sports,Pass,Offline,52,53
143,Krishna,Male,18,PG,Manager,132152,71.74,63.01,3.8,8,Medium,68.79,Yes,Yes,3.8,Good,5,Dance,Pass,Online,52,51
144,Rajat,Male,16,High School,Shopkeeper,112226,93.21,41.8,1.1,6.4,High,67.02,Yes,Yes,0.4,Good,4,Dance,Pass,Offline,26,27
145,Neha,Female,14,UG,Teacher,378531,61.35,55.89,2,5.4,Low,66.97,Yes,Yes,2,Poor,4,Dance,Pass,Offline,52,53
146,Abhishek,Male,16,PG,Manager,207436,98.59,83.04,5.8,8,High,97.13,Yes,Yes,1.8,Average,5,Music,Pass,Online,52,49
147,Anjali,Female,15,High School,Farmer,158186,58.08,80.46,2,5.5,High,84.61,No,No,3.8,Poor,4,Sports,Pass,Online,33,27
148,Isha,Female,14,High School,Farmer,313340,65.03,52.78,5.7,8.9,Low,56.7,Yes,Yes,1.6,Average,2,Sports,Pass,Online,78,71
149,Nikita,Female,15,PG,Professor,138514,91.27,91.41,2.8,5.1,Medium,97.69,Yes,No,3.5,Good,1,None,Pass,Online,52,53
150,Kunal,Male,16,PG,Engineer,378677,53.89,63.17,3.6,8.9,Low,83.65,Yes,No,1.9,Poor,2,None,Pass,Online,52,53
151,Bhavna,Female,15,High School,Farmer,353522,79.45,77.63,4.6,7.2,Medium,84.98,No,No,1.6,Excellent,5,Dance,Pass,Offline,46,41
152,Krishna,Male,15,UG,Technician,499954,91.31,47.75,3.3,6.5,Medium,50.11,No,Yes,3.2,Excellent,2,Art,Pass,Offline,52,53
153,Aryan,Male,17,PG,Professor,495020,77.98,56.23,4.6,6,Medium,87.55,Yes,No,0,Good,2,Sports,Pass,Online,52,53
154,Krishna,Male,17,High School,Shopkeeper,95009,56.47,87.78,5.9,8.4,Low,76.98,No,No,2.8,Excellent,5,None,Pass,Online,57,53
155,Siddharth,Male,17,PG,Doctor,387754,89.97,85.59,2.7,5.9,High,82.51,Yes,No,2.4,Excellent,2,Sports,Pass,Offline,52,53
156,Kunal,Male,17,High School,Driver,449401,95.31,65.92,5.5,8.9,Low,99.1,Yes,No,2,Average,1,None,Pass,Online,84,85
157,Krishna,Male,18,PG,Doctor,221080,91.63,60.95,5.1,8.6,Medium,76.63,No,No,3.3,Good,1,Art,Pass,Online,52,53
158,Nikita,Female,16,UG,Salesperson,61336,76.11,44.97,5.8,5.9,Medium,71.56,No,No,0.5,Excellent,1,Sports,Pass,Online,52,53
159,Tanya,Female,16,PG,Professor,218912,61.05,58.39,5.4,5.3,High,67.54,No,No,3.9,Excellent,2,Art,Pass,Offline,52,53
160,Aditya,Male,17,UG,Technician,74750,90.57,75.72,2,6.8,Medium,77.44,No,No,3.4,Excellent,5,Art,Pass,Offline,52,51
161,Rohan,Male,18,UG,Teacher,496895,74.45,68.21,1.2,5.6,High,67.85,Yes,Yes,3.3,Excellent,3,None,Pass,Online,52,53
162,Swati,Female,14,High School,Tailor,311707,82.56,47.08,5.5,6.7,Low,50.77,Yes,Yes,0.4,Excellent,1,None,Pass,Offline,84,87
163,Aditya,Male,16,High School,Security Guard,397257,56.98,88.65,2.5,8.5,High,97.02,Yes,Yes,3.3,Average,3,Dance,Pass,Online,44,44
164,Vivaan,Male,14,UG,Clerk,344419,88.9,44.3,2.1,8.5,High,82.04,Yes,Yes,3.2,Good,2,None,Pass,Online,52,53
165,Harsh,Male,18,UG,Accountant,280668,68.59,55.42,4.2,5.2,Low,76.32,Yes,Yes,2.4,Poor,3,None,Pass,Offline,52,53
166,Isha,Female,18,PG,Professor,97273,77.5,77.09,5.6,8.9,High,78.1,No,No,0.2,Good,5,None,Pass,Offline,52,48
167,Bhavna,Female,15,UG,Salesperson,374433,61.12,76.72,1.7,7.9,Medium,88.64,No,No,2.4,Excellent,5,Art,Pass,Online,52,47
168,Amit,Male,15,High School,Security Guard,383778,72.72,71.88,3.9,5.6,Low,56.5,No,No,0.6,Excellent,5,Dance,Pass,Online,41,39
169,Yash,Male,14,PG,Professor,318908,70.46,63.35,5.5,8.1,High,94.52,No,Yes,2.8,Good,5,Dance,Pass,Online,52,50
170,Pooja,Female,18,PG,Professor,472222,81.96,94.6,1.4,6.4,Medium,74.84,Yes,Yes,3.8,Good,3,None,Pass,Offline,52,53
171,Tanya,Female,17,UG,Accountant,192696,95.87,73.88,2.3,6,Medium,82.02,Yes,No,3.9,Average,1,Music,Pass,Offline,52,53
172,Rohan,Male,14,PG,Scientist,392774,53.15,86.33,4.8,5.6,High,75.67,No,Yes,2.6,Poor,1,Music,Pass,Offline,52,53
173,Yash,Male,15,High School,Driver,285583,72.29,72.61,1.7,8.5,Medium,78.53,No,No,2.5,Good,4,Music,Pass,Offline,31,30
174,Aniket,Male,15,UG,Technician,381026,50.47,97.71,3.5,8.4,Low,51.9,Yes,Yes,3.7,Good,4,Music,Pass,Offline,52,53
175,Krishna,Male,15,PG,Doctor,241853,62.81,78.71,3.2,8.5,High,75.73,Yes,Yes,3.5,Excellent,5,Music,Pass,Offline,52,49
176,Aanya,Female,14,UG,Salesperson,301317,53.88,87.24,4.9,8.4,High,96.75,No,No,2.2,Excellent,4,Art,Pass,Offline,52,53
177,Krishna,Male,14,High School,Driver,451718,59.59,99.93,5.4,8.4,High,63.37,No,No,1.5,Poor,3,Sports,Pass,Online,68,68
178,Manish,Male,17,UG,Salesperson,77709,63.57,68.98,1.9,8,High,80.01,No,No,0.5,Poor,2,Art,Pass,Offline,52,53
179,Bhavna,Female,15,PG,Doctor,496580,78.28,49.28,2,6.9,Medium,79.98,No,Yes,0.4,Average,2,Sports,Pass,Offline,52,53
180,Aryan,Male,16,UG,Salesperson,92156,69.27,74.24,5.6,5.9,Medium,81.65,Yes,Yes,2.5,Average,1,None,Pass,Online,52,53
